cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
ARC-NO3NO2N,"NITROGEN, NITRITE + NITRATE",T,mg/l,U00628,mg/l,NA,Nutrient,"Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen",Inorganic nitrogen (nitrate and nitrite),"NA","NA","NA","NA","NA","NA","NA","NA",NA
479-61-8,CHLOROPHYLL A,T,ug/l,U32735,ug/l,479-61-8,Biological,"Chlorophyll a, phytoplankton, water, acetone extraction and spectrophotometry, milligrams per liter",NA,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
7440-44-0,TOTAL CARBON,D,mg/l,U00682,mg/l,7440-44-0,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], water, filtered, milligrams per liter",Total Carbon,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COND,SPECIFIC CONDUCTANCE,T,umhos/cm,U00094,uS/cm @25C,NA,Physical,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
16984-48-8,"FLUORIDE, UNDISTILLED",T,mg/l,U00951,mg/l,16984-48-8,"Inorganics, Major, Non-metals","Fluoride, water, unfiltered, milligrams per liter",Fluoride,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
NO3NO2N,NITRATE+NITRITE AS NITROGEN,T,mg/l,U00628,mg/l,NO3NO2N,Nutrient,"Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen",Inorganic nitrogen (nitrate and nitrite),"NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
PH,PH,T,pH units,U00400,std units,NA,Physical,"pH, water, unfiltered, field, standard units",pH,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOLID,TOTAL SOLIDS,T,mg/l,U00500,mg/l,NA,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
SOLID,TOTAL SOLIDS,T,mg/l,U00500,mg/l,NA,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TEMP,TEMPERATURE OF PH ANALYSIS,T,deg c,U00010,deg c,NA,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA","NA","NA","NA",NA
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l,U00681,mg/l,DOC,"Organics, other","Organic carbon, water, filtered, milligrams per liter",Organic carbon,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
