"CHEM_HISTORY_BATCH_ID","CHEM_HISTORY_SAMPLE_ID","CHB_SYS_SAMPLE_CDE","CHB_LAB_ANAL_METHOD_NAME","CHB_ANALYSIS_DATE","CHB_FRACTION","CHB_TEST_TYPE","CHB_TEST_BATCH_TYPE","CHB_TEST_BATCH_ID","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","","13ROND-9.9EB_070517_WSMS","E300.0",2017-07-08 00:22:00,"T","initial","Analysis","552827","","","",""
"","","13ROND-9.9EB_070517_WSMS","E365.1",2017-07-19 15:33:00,"T","initial","Prep","292993","","","",""
"","","13ROND-9.9_070517_WSMSD","D6919-09",2017-07-07 21:28:00,"T","initial","Analysis","552813","","","",""
"","","13ROND-9.9_070517_WSMSD","E300.0",2017-07-07 22:26:00,"T","initial","Analysis","552825","","","",""
"","","13ROND-9.9_070517_WSMSD","E353.2",2017-07-08 12:45:00,"T","initial","Analysis","552789","","","",""
"","","13ROND-9.9_070517_WSMSD","E353.2",2017-07-06 16:27:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9_070517_WSMSD","E365.1",2017-07-13 13:25:00,"T","initial","Prep","292371","","","",""
"","","13ROND-9.9EB_070517_WSMSD","D6919-09",2017-07-08 00:41:00,"T","initial","Analysis","552814","","","",""
"","","13ROND-9.9EB_070517_WSMSD","E300.0",2017-07-08 00:33:00,"T","initial","Analysis","552827","","","",""
"","","13ROND-9.9EB_070517_WSMSD","E365.1",2017-07-19 15:34:00,"T","initial","Prep","292993","","","",""
"","","292434-LCS1","E200.7",2017-07-11 12:19:00,"T","initial","Prep","292434","","","",""
"","","292427-LCS1","E200.8",2017-07-19 20:02:00,"T","initial","Prep","292427","","","",""
"","","292434-MB1","E200.7",2017-07-11 12:16:00,"T","initial","Prep","292434","","","",""
"","","292427-MB1","E200.8",2017-07-19 19:56:00,"T","initial","Prep","292427","","","",""
"","","13ESOP-16.1_070517_WS","E200.8",2017-07-19 20:08:00,"T","initial","Prep","292427","","","",""
"","","13ESOP-16.1_070517_WS","E200.7",2017-07-11 12:22:00,"T","initial","Prep","292434","","","",""
"","","13ESOP-21.7_070517_WS","E200.8",2017-07-19 20:15:00,"T","initial","Prep","292427","","","",""
"","","13ESOP-21.7_070517_WS","E200.7",2017-07-11 12:26:00,"T","initial","Prep","292434","","","",""
"","","13ROND-9.9_070517_WS","E200.8",2017-07-19 20:21:00,"T","initial","Prep","292427","","","",""
"","","13ROND-9.9_070517_WS","E200.7",2017-07-11 12:29:00,"T","initial","Prep","292434","","","",""
"","","13ROND-9.9_070517_WSMS","E200.8",2017-07-19 20:27:00,"T","initial","Prep","292427","","","",""
"","","13ROND-9.9_070517_WSMS","E200.7",2017-07-11 12:32:00,"T","initial","Prep","292434","","","",""
"","","13ROND-9.9_070517_WSMSD","E200.8",2017-07-19 20:33:00,"T","initial","Prep","292427","","","",""
"","","13ROND-9.9_070517_WSMSD","E200.7",2017-07-11 12:36:00,"T","initial","Prep","292434","","","",""
"","","13ROND-T6-1.9_070517_WS","E200.8",2017-07-19 20:52:00,"T","initial","Prep","292427","","","",""
"","","13ROND-T6-1.9_070517_WS","E200.7",2017-07-11 12:46:00,"T","initial","Prep","292434","","","",""
"","","13ROND-T6-1.9 DUP_070517_WS","E200.8",2017-07-19 21:10:00,"T","initial","Prep","292427","","","",""
"","","13ROND-T6-1.9 DUP_070517_WS","E200.7",2017-07-11 12:56:00,"T","initial","Prep","292434","","","",""
"","","13KLEI-0.1_070517_WS","E200.8",2017-07-20 16:47:00,"T","initial","Prep","292427","","","",""
"","","13KLEI-0.1_070517_WS","E200.8",2017-07-20 17:11:00,"T","initial","Prep","292427","","","",""
"","","13KLEI-0.1_070517_WS","E200.8",2017-07-19 21:16:00,"T","initial","Prep","292427","","","",""
"","","13KLEI-0.1_070517_WS","E200.7",2017-07-11 12:59:00,"T","initial","Prep","292434","","","",""
"","","13WALK-T13-1.3_070517_WS","E200.8",2017-07-20 16:53:00,"T","initial","Prep","292427","","","",""
"","","13WALK-T13-1.3_070517_WS","E200.8",2017-07-19 21:22:00,"T","initial","Prep","292427","","","",""
"","","13WALK-T13-1.3_070517_WS","E200.7",2017-07-11 13:03:00,"T","initial","Prep","292434","","","",""
"","","13WALK-13.3_070517_WS","E200.8",2017-07-20 16:59:00,"T","initial","Prep","292427","","","",""
"","","13WALK-13.3_070517_WS","E200.8",2017-07-19 21:28:00,"T","initial","Prep","292427","","","",""
"","","13WALK-13.3_070517_WS","E200.7",2017-07-11 13:06:00,"T","initial","Prep","292434","","","",""
"","","13WALK-15.0_070517_WS","E200.8",2017-07-20 17:05:00,"T","initial","Prep","292427","","","",""
"","","13WALK-15.0_070517_WS","E200.8",2017-07-20 17:30:00,"T","initial","Prep","292427","","","",""
"","","13WALK-15.0_070517_WS","E200.8",2017-07-19 21:35:00,"T","initial","Prep","292427","","","",""
"","","13WALK-15.0_070517_WS","E200.7",2017-07-11 13:09:00,"T","initial","Prep","292434","","","",""
"","","13WALK-13.3 DUP_070517_WS","E200.8",2017-07-19 21:41:00,"T","initial","Prep","292427","","","",""
"","","13WALK-13.3 DUP_070517_WS","E200.7",2017-07-11 13:13:00,"T","initial","Prep","292434","","","",""
"","","13WALK-15.0EB_070517_WS","E200.8",2017-07-19 21:47:00,"T","initial","Prep","292427","","","",""
"","","13WALK-15.0EB_070517_WS","E200.7",2017-07-11 13:16:00,"T","initial","Prep","292434","","","",""
"","","13ROND-9.9EB_070517_WS","E200.8",2017-07-19 21:53:00,"T","initial","Prep","292427","","","",""
"","","13ROND-9.9EB_070517_WS","E200.7",2017-07-11 13:19:00,"T","initial","Prep","292434","","","",""
"","","13PETK-6.1_070617_WS","SM 2320 B",2017-07-10 20:55:00,"T","initial","Analysis","552986","","","",""
"","","13PETK-6.1_070617_WS","D6919-09",2017-07-10 18:13:00,"T","initial","Analysis","552978","","","",""
"","","13PETK-6.1_070617_WS","E300.0",2017-07-10 11:55:00,"T","initial","Analysis","552988","","","",""
"","","13PETK-6.1_070617_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13PETK-6.1_070617_WS","SM2340B",2017-07-12 13:57:00,"T","initial","Analysis","6-Jul-12","","","",""
"","","13PETK-6.1_070617_WS","Calculation",2017-07-07 10:37:00,"T","initial","Analysis","552851","","","",""
"","","13PETK-6.1_070617_WS","E353.2",2017-07-08 13:03:00,"T","initial","Analysis","552790","","","",""
"","","13PETK-6.1_070617_WS","E353.2",2017-07-07 10:37:00,"T","initial","Analysis","552851","","","",""
"","","13PETK-6.1_070617_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
