"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"556047-LCS3","E300.0","08/02/2017 02:19:00","T",NA,"initial","Analysis","556047"
"555904-LCS3","E353.2","07/28/2017 11:13:00","T",NA,"initial","Analysis","555904"
"294353-LCS3","E365.1","08/02/2017 19:37:00","T",NA,"initial","Prep","294353"
"556931-LCS4","SM 2320 B","08/07/2017 19:57:00","T",NA,"initial","Analysis","556931"
"556205-LCS4","E300.0","08/02/2017 22:43:00","T",NA,"initial","Analysis","556205"
"294354-LCS4","E365.1","08/02/2017 20:13:00","T",NA,"initial","Prep","294354"
"13PERR-1.5_07252017_WSDUP","E180.1","07/26/2017 15:35:00","T",NA,"initial","Analysis","555219"
"13MANY-1.3_07262017_WSDUP","SM 2320 B","07/30/2017 14:45:00","T",NA,"initial","Analysis","555663"
"13MANY-1.3_07262017_WSDUP","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13MANY-1.3_07262017_WSDUP","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13MANY-1.3_07262017_WSDUP","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"13WPALG-3.4_07262017_WSDUP","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-BEER_W-0.2_07272017_WSDUP","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-TRAV-2.7_07272017_WSDUP","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13WQUAS-9.8_07252017_WSMS","E353.2","07/26/2017 18:40:00","T",NA,"initial","Analysis","555473"
"13WQUAS-9.8_07252017_WSMS","E365.1","07/31/2017 11:54:00","T",NA,"initial","Prep","293901"
"13HACK_E-1.5_07252017_WSMS","D6919-09","08/08/2017 14:50:00","T",NA,"initial","Analysis","557002"
"13MANY-1.3_07262017_WSMS","D6919-09","08/09/2017 04:03:00","T",NA,"initial","Analysis","557004"
"13MANY-1.3_07262017_WSMS","E300.0","08/03/2017 02:04:00","T",NA,"initial","Analysis","556205"
"13MANY-1.3_07262017_WSMS","E353.2","08/02/2017 16:43:00","T",NA,"initial","Analysis","556184"
"13MANY-1.3_07262017_WSMS","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13MANY-1.3_07262017_WSMS","E365.1","08/02/2017 18:03:00","T",NA,"initial","Prep","294117"
"13WPALG-3.4_07262017_WSMS","E365.1","08/02/2017 18:12:00","T",NA,"initial","Prep","294117"
"13-ESOP-28.7_07272017_WSMS","E365.1","08/02/2017 19:59:00","T",NA,"initial","Prep","294353"
"13-ESOP-29.6_07272017_WSMS","E300.0","08/02/2017 01:26:00","T",NA,"initial","Analysis","556040"
"13-BUSK-0.2_07272017_WSMS","E353.2","08/02/2017 16:13:00","T",NA,"initial","Analysis","556184"
"13-TRAV-2.7_07272017_WSMS","D6919-09","08/09/2017 10:40:00","T",NA,"initial","Analysis","557004"
"13-TRAV-2.7_07272017_WSMS","E353.2","07/28/2017 11:22:00","T",NA,"initial","Analysis","555904"
"13-ESOP-28.7DUP_07272017_WSMS","E365.1","08/02/2017 20:17:00","T",NA,"initial","Prep","294354"
"13WQUAS-9.8_07252017_WSMSD","E353.2","07/26/2017 18:40:00","T",NA,"initial","Analysis","555473"
"13WQUAS-9.8_07252017_WSMSD","E365.1","07/31/2017 11:55:00","T",NA,"initial","Prep","293901"
"13HACK_E-1.5_07252017_WSMSD","D6919-09","08/08/2017 15:23:00","T",NA,"initial","Analysis","557002"
"13MANY-1.3_07262017_WSMSD","D6919-09","08/09/2017 04:36:00","T",NA,"initial","Analysis","557004"
"13MANY-1.3_07262017_WSMSD","E300.0","08/03/2017 02:14:00","T",NA,"initial","Analysis","556205"
"13MANY-1.3_07262017_WSMSD","E353.2","08/02/2017 15:58:00","T",NA,"initial","Analysis","556184"
"13MANY-1.3_07262017_WSMSD","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13MANY-1.3_07262017_WSMSD","E365.1","08/02/2017 18:04:00","T",NA,"initial","Prep","294117"
"13WPALG-3.4_07262017_WSMSD","E365.1","08/02/2017 18:13:00","T",NA,"initial","Prep","294117"
"13-ESOP-28.7_07272017_WSMSD","E365.1","08/02/2017 19:59:00","T",NA,"initial","Prep","294353"
"13-ESOP-29.6_07272017_WSMSD","E300.0","08/02/2017 01:37:00","T",NA,"initial","Analysis","556040"
"13-BUSK-0.2_07272017_WSMSD","E353.2","08/02/2017 16:14:00","T",NA,"initial","Analysis","556184"
"13-TRAV-2.7_07272017_WSMSD","D6919-09","08/09/2017 11:13:00","T",NA,"initial","Analysis","557004"
"13-ESOP-28.7DUP_07272017_WSMSD","E365.1","08/02/2017 20:18:00","T",NA,"initial","Prep","294354"
"294319-LCS1","E200.7","08/05/2017 00:10:00","T",NA,"initial","Prep","294319"
